"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","1021",1339,329,212,328,54,34,2.56925059970903,3.9996869133784,3.61951942187517,0.00535481076733266,0.99986857907279,-4.53219650018132
"2","10648",79,45,32,14,0,31,3.20375554819923,0.492839485609411,2.33337029433116,0.0438452925112758,0.99986857907279,-4.58380287566194
"3","1269",40,28,12,110,352,57,-2.43873544603544,2.19836647516059,-2.8797820900911,0.017743544559191,0.99986857907279,-4.5637111300488
"4","1680",83,15,13,4,4,6,2.70561637059321,-0.0980319312387355,2.89069183467076,0.0174272275613437,0.99986857907279,-4.58174571252906
"5","3137",463,67,138,59,7,164,2.3289056866953,2.74822766848245,2.32912330537604,0.0441542248825562,0.99986857907279,-4.5677560090661
"6","4065",72,93,119,57,0,6,3.86748375149843,0.908721785581043,2.30654821423489,0.0458326292963905,0.99986857907279,-4.58379382898962
"7","4401",115,267,576,32,4,35,3.9998885210718,2.45118190680821,2.61612057222843,0.0274453235574421,0.99986857907279,-4.57072510570601
"8","4940",21,10,6,47,58,24,-1.81560837646827,0.808780442361498,-2.37728970781586,0.0407727620344893,0.99986857907279,-4.57938081975222
"9","5549",175,55,30,185,206,178,-1.28436840198152,3.19404410380073,-2.37353848903686,0.0410266790403082,0.99986857907279,-4.56234448193299
"10","5634",337,81,39,444,537,274,-1.70969230857081,4.04946767886261,-3.28690164721141,0.00911891804489584,0.99986857907279,-4.53510163862551
"11","6077",15,9,7,92,88,16,-2.44170527263263,0.905187689319036,-2.68287417772549,0.0245711174114113,0.99986857907279,-4.57618951337003
"12","6474",44,29,23,2,5,12,2.61538698322281,0.102818636970456,2.3855642802766,0.040218136038372,0.99986857907279,-4.58442440845801
"13","6748",556,120,256,27,9,119,3.40586859649503,2.87413780844091,3.79985306109574,0.00403403320559385,0.99986857907279,-4.54618089245968
"14","7324",301,20,86,56,18,26,1.74874358074811,2.01074629887995,2.33595624129298,0.0436582292841756,0.99986857907279,-4.57206977589653
"15","752",42,19,5,121,88,41,-2.05446584188809,1.53340214086507,-2.83020216381436,0.0192564258298216,0.99986857907279,-4.56967478944673
"16","7821",18,6,15,95,66,25,-2.23242730770086,1.07465943103047,-2.78252648657801,0.0208349225610858,0.99986857907279,-4.57363969478281
"17","7928",6609,674,1014,10749,11638,2321,-1.77945036883044,8.07212080075676,-3.00062564465819,0.014543737922583,0.99986857907279,-4.5342835320132
"18","893",426,62,185,572,627,506,-1.51052273428513,4.65920236162371,-2.98543212102285,0.0149112103774188,0.99986857907279,-4.53654256551224
"19","9331",110,12,45,138,144,97,-1.39325362717443,2.5190470230303,-2.3262266861159,0.0443661561204083,0.99986857907279,-4.56878474205624
"20","9536",7,0,6,32,23,14,-2.75178455504021,-0.613166906649875,-2.57256333956823,0.0295005655818838,0.99986857907279,-4.58475972792196
