"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","1092",168,40,62,450,338,176,-2.07723795422424,3.61048155798429,-4.89107088653861,0.000986245437519409,0.843691738899946,-4.50502542629584
"2","11062",73,51,19,311,280,64,-2.37563656001717,2.81274637440923,-3.68961705931983,0.00543115193464542,0.843691738899946,-4.53541321198011
"3","11809",681,96,196,754,839,453,-1.51914261402914,4.99997755314027,-3.76983094160818,0.00481566081010524,0.843691738899946,-4.50454892955197
"4","1387",149,29,71,16,14,11,2.27238217830896,1.32853061956647,3.55590806052629,0.0066493625817757,0.843691738899946,-4.56126425106968
"5","2416",998,335,258,1833,1740,689,-1.62640284460155,5.94693600357098,-3.78951751138163,0.00467620101285085,0.843691738899946,-4.50060402054461
"6","2701",220,33,109,14,10,23,2.75356482183085,1.61818815861965,3.80246139834594,0.00458684585991908,0.843691738899946,-4.55632700751921
"7","3511",443,40,114,36,20,26,2.35144232305052,2.25431194831023,3.82289493286828,0.00444945671738691,0.843691738899946,-4.54368784396959
"8","4138",17,2,7,85,49,19,-2.73229529583645,0.494907274631013,-3.55007071423355,0.00670871918734236,0.843691738899946,-4.57065911971102
"9","4225",53,9,21,144,129,41,-2.13575424938486,1.87686054043308,-3.76582939957819,0.00484454345506923,0.843691738899946,-4.54916520765707
"10","5546",415,26,120,22,27,15,2.48942509545438,1.9742756940537,3.56369246650359,0.00657106772623616,0.843691738899946,-4.55207398955701
"11","5878",136,116,35,790,841,122,-2.63611429524143,3.9442500073812,-3.62280575659104,0.00600733936132235,0.843691738899946,-4.52112853855047
"12","59",381,179,150,914,597,431,-1.62276355269657,4.89809675928842,-3.56406928129536,0.00656730251396762,0.843691738899946,-4.50992630280366
"13","6076",97,35,31,304,200,66,-1.92307957483029,2.82768787052235,-3.61846237521579,0.00604696826647384,0.843691738899946,-4.53497390596272
"14","7117",16,17,5,89,92,41,-2.97118544803701,1.21701266843095,-4.1015758171651,0.00295597152568329,0.843691738899946,-4.55756977330948
"15","7580",119,98,20,732,487,170,-2.88780950291607,3.66979541759057,-4.32444225276214,0.00214846356062994,0.843691738899946,-4.51466303479995
"16","7688",23,68,10,226,186,143,-3.36755150505939,2.47582915515193,-4.16090040186395,0.00271337242728974,0.843691738899946,-4.53876250795454
"17","8011",52,26,17,186,248,44,-2.40948163776919,2.30434114474595,-3.70492815692903,0.00530752992065273,0.843691738899946,-4.54369479338033
"18","8368",735,117,122,1094,838,317,-1.6226764560449,4.95546716629078,-3.6672382143965,0.00561735008755787,0.843691738899946,-4.50743065884593
"19","8922",120,25,33,236,215,72,-1.80180930618867,2.79121399627002,-3.72750530037815,0.005130648262632,0.843691738899946,-4.53380142109372
"20","9246",453,261,85,1607,1498,607,-2.51244483879666,5.33314266123348,-4.43188155858604,0.0018469085342881,0.843691738899946,-4.49312948673586
