"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10248",2207,1470,1151,8920,17011,10650,-4.23493887207176,8.43901386868822,-12.701071285604,1.07208391780136e-06,0.00436406126969339,5.99150800069951
"2","7703",42,13,15,324,527,434,-5.61651748194065,2.92425327560227,-12.1740815943326,1.49582749738796e-06,0.00436406126969339,5.17410673926346
"3","8005",112,109,131,1407,2744,2313,-5.53505962979608,5.32722100685591,-12.5853273683175,1.15219212154157e-06,0.00436406126969339,5.87174578205282
"4","9066",30,50,18,3044,1834,1658,-7.50246502941673,4.36432614268371,-11.8782337999214,1.8138243016182e-06,0.00436406126969339,5.19091397542039
"5","5415",226,146,239,2070,2442,1562,-4.68354777206147,5.6800472225641,-11.0751664655203,3.13076337291994e-06,0.00469756504131014,5.09257184268938
"6","5521",187,136,247,2845,2672,2004,-5.12646967587629,5.78349777111313,-10.7640833210505,3.90487534605997e-06,0.00469756504131014,4.89112870270796
"7","5962",138,85,43,417,860,620,-4.22007730168994,4.16420332213888,-10.9602614621507,3.3947911749055e-06,0.00469756504131014,4.94147229563539
"8","9082",79,122,56,6800,5492,1886,-7.04371850971295,5.56409986416388,-10.7944209641505,3.82069348437228e-06,0.00469756504131014,4.81888203500221
"9","7387",99,78,91,625,617,739,-4.25956595522147,4.30254058866229,-9.95348592458369,7.13794401121208e-06,0.00763284146265611,4.31349838068033
"10","5434",139,66,51,309,748,376,-3.81029913703378,3.92046583682928,-9.79438556961885,8.07517910779088e-06,0.00777155237333794,4.19011082563924
"11","4656",295,93,126,511,1000,844,-3.61865058328274,4.7837804059549,-9.65376280399651,9.01849681149508e-06,0.00789036484671169,4.14150342505225
"12","4506",332,213,95,640,1420,881,-3.59521443951776,5.09175280673561,-9.47305217131915,1.04154644565444e-05,0.00835320249414861,4.01785820021389
"13","8121",7164,4764,3915,21861,21574,22190,-3.41793549463341,9.74821161097935,-9.36723098800401,1.13442544809006e-05,0.00839823885570675,3.91616046731196
"14","10667",248,95,117,423,640,445,-3.12510605528259,4.42305549064605,-9.08930618461038,1.42534367308397e-05,0.00863222632123349,3.71785050122983
"15","4043",84,40,44,180,461,340,-3.84935009378297,3.37545771819928,-9.10258645923519,1.40969306887003e-05,0.00863222632123349,3.65389119272753
"16","426",77,40,36,175,290,305,-3.68367677629944,3.16287994951403,-9.02005995966781,1.51014033719925e-05,0.00863222632123349,3.57684862676483
"17","5522",163,175,224,2002,1420,2567,-4.77766769515503,5.61061574529207,-8.90121175923451,1.66905320641387e-05,0.00863222632123349,3.5756960117723
"18","6208",2069,949,930,19,51,37,3.84017515074102,4.04123418108296,8.96277354510401,1.58453643720165e-05,0.00863222632123349,3.4928359992454
"19","8321",3929,1791,230,53782,128684,49126,-7.2274851684136,9.52449628231497,-8.77512971486259,1.85822453388283e-05,0.00863222632123349,3.46200743068074
"20","8986",5,0,5,689,2196,548,-9.86199159538235,1.97122319330033,-8.69752890455154,1.98642889223647e-05,0.00863222632123349,2.43688213532126
