"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10124",1069,498,157,744,922,1589,-1.63350476634241,5.77099991785597,-2.73049287283974,0.0235166699267447,0.977573923710127,-4.5331915824827
"2","10614",585,222,173,364,978,1055,-1.80108432197099,5.19943720562527,-2.54910168750433,0.0315960747430143,0.977573923710127,-4.54046379399893
"3","11140",268,203,44,65,30,18,1.59325984862556,2.44429016407747,2.72501627322596,0.0237269351608622,0.977573923710127,-4.56081256569681
"4","163",13,10,12,42,82,88,-3.08843284309406,1.21885173361682,-3.25839429489558,0.0100614475666325,0.977573923710127,-4.56758303249696
"5","2122",795,283,43,559,424,540,-1.48975180396535,4.74006049998393,-2.55632206815717,0.031226388355391,0.977573923710127,-4.54208417412938
"6","2443",352,135,49,238,343,320,-1.46174423555659,4.01631799777991,-2.62527039778246,0.0279081447722313,0.977573923710127,-4.54528926310816
"7","2842",34,14,156,97,272,327,-3.10897299405896,2.93134145253242,-2.69254894532747,0.0250132477087497,0.977573923710127,-4.55667155568465
"8","2959",589,422,100,594,583,698,-1.46432686649595,5.11802932711803,-2.86428370453028,0.0189289832045406,0.977573923710127,-4.53038326939289
"9","3457",52,33,26,171,45,56,-1.68396398384011,2.08950401966521,-2.65927062125191,0.0264051111533516,0.977573923710127,-4.56351125626613
"10","4264",41,5,11,50,47,40,-2.09475703126085,1.03411344775435,-2.67283094939861,0.0258287255387073,0.977573923710127,-4.57370868232658
"11","46",301,217,145,314,582,575,-1.61982152714746,4.68603237943585,-2.5512880695723,0.0314836694298904,0.977573923710127,-4.54242880022138
"12","4821",1627,1048,298,495,300,88,1.32116999515681,5.14240644331876,2.61095565702122,0.0285665204653405,0.977573923710127,-4.53965646392097
"13","4912",196,100,45,264,127,310,-1.54880515402051,3.56264820455785,-2.69828983720589,0.0247807599859746,0.977573923710127,-4.54774665525011
"14","5303",4303,1860,1205,2679,14127,12231,-2.30230060707781,8.36653272302927,-2.81991197180993,0.0203394924936526,0.977573923710127,-4.53614545292691
"15","5904",2248,184,98,719,2647,1555,-2.41121995754356,5.83790585097627,-2.7823601556692,0.0216168209108265,0.977573923710127,-4.53315515140446
"16","7338",56,41,9,92,62,63,-1.67877686311582,1.86795448761229,-2.80406322231118,0.0208689313823917,0.977573923710127,-4.5637684543873
"17","7491",455,184,91,385,397,508,-1.48787970326156,4.56145278976804,-2.89484447663654,0.018016032300208,0.977573923710127,-4.53294107380243
"18","8941",385,134,58,227,805,420,-1.89095392875889,4.33509503710338,-2.66442679131099,0.0261844288685454,0.977573923710127,-4.54217406765926
"19","9032",247,211,88,75,23,13,1.96238007604034,2.4950026329756,3.104819499416,0.012850997275695,0.977573923710127,-4.55566561087911
"20","9254",2987,1316,303,2097,2283,2589,-1.55183155486247,6.99357368490185,-2.91793854506206,0.01735614591328,0.977573923710127,-4.52830649033039
