"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","1121",1929,456,833,249,96,141,1.76091878024288,4.90504377324443,3.55647884072297,0.00664573099411025,0.866411014522783,-4.5130890038565
"2","1170",6,54,9,94,53,46,-3.25866154327798,1.30635839410155,-3.35884352934041,0.00899919429367678,0.866411014522783,-4.56338279420878
"3","1315",10608,2865,2067,2031,491,422,1.56510653711438,7.13368187117918,3.40886726477072,0.00833079976086794,0.866411014522783,-4.5081068888835
"4","1740",90,124,119,302,212,215,-2.05274607972226,3.72718327265427,-3.34375977410278,0.00921159140538985,0.866411014522783,-4.5268946234227
"5","1972",42,18,16,114,48,75,-2.5008870389421,1.76991506287529,-4.40891792446149,0.00190824322311389,0.866411014522783,-4.54553225643731
"6","2055",17,4,2,47,25,21,-2.98990630445686,0.0947354007994428,-3.59124938742232,0.00630369939036644,0.866411014522783,-4.57522063948688
"7","2568",0,0,8,41,14,11,-4.76729439260165,-1.31287069828345,-3.44174654927957,0.00792002318864248,0.866411014522783,-4.58229740875748
"8","3697",1413,304,246,205,42,32,1.9432396518772,3.84238039024679,3.39357333949763,0.0085294397182112,0.866411014522783,-4.53023311852865
"9","4146",287,110,16,456,468,711,-3.3810843903322,4.0765902742115,-4.48274190481771,0.00172117568100357,0.866411014522783,-4.50768070231376
"10","4904",5219,1118,1299,941,251,200,1.58452099771378,6.10003454043031,3.31123419211356,0.00968765385687614,0.866411014522783,-4.51135250456925
"11","6134",5185,1408,958,943,222,207,1.58019224531019,6.06001403420543,3.44997894259769,0.00782054050986082,0.866411014522783,-4.50775016395993
"12","6191",2249,574,539,400,128,75,1.62746016484771,4.92424153185972,3.32845958941789,0.00943240711809857,0.866411014522783,-4.5179932335264
"13","6252",39,102,19,169,102,105,-2.40920424383722,2.55885240073521,-3.48222253300463,0.00744337198205019,0.866411014522783,-4.54223758085563
"14","6774",360,70,94,14,14,7,2.85446263618926,1.68287206637364,3.73694557483148,0.0050603509758038,0.866411014522783,-4.5616104430874
"15","6872",550,646,237,2172,421,536,-1.67839507305674,5.5805972077518,-3.34607142163564,0.00917870288130949,0.866411014522783,-4.50814131920102
"16","7163",6687,1285,1267,1039,148,208,1.91240462518591,6.09362708690148,3.5534612830041,0.00667632346522155,0.866411014522783,-4.50630354583249
"17","8595",477,98,90,41,16,10,2.25405033518649,2.18528936491072,3.44769488028358,0.00784800946058425,0.866411014522783,-4.55511386553784
"18","9229",205,591,67,1055,405,370,-2.28443789476168,4.74789563757667,-3.31268969326851,0.00966580919120847,0.866411014522783,-4.516179746783
"19","953",1641,388,295,251,62,27,2.01139622414991,4.08164555294466,3.32094570851087,0.00954287160686792,0.866411014522783,-4.52912266330017
"20","9997",17,21,4,83,46,27,-2.83572368195839,0.951404362785599,-3.79165777632548,0.00466300822499589,0.866411014522783,-4.56397112733124
